Sentence,Judges_classification,,,,,
And don't forget about the hair flip!.,none,,,,,
"If there is anything positive to be said about Armageddon it's that it'd forever extinguish all traces of Barrymore, Arquette, Carradine, Coppola and Fonda DNA.I'm mystified about the choice of bunnies, though.",none,,,,,
"Although I am Team Edward, I was glad to see Taylor have more screen time as he is denied this in the first one.",none,,,,,
3. The ending.,none,,,,,
"And another thing if I was facing charges because I planted an idea in someone's head that led to their death I wouldn't flee the country I wouldn't even ask for a lawyer, the first words out of my mouth would be ""get me the CIA.""",none,,,,,
"The Director, who is completely inexperienced, has done a bad job of bringing this movie back from it's beleaguered past.",none,,,,,
Man I love movies.,none,,,,,
Support this movie so that we can have more and more like it.,none,,,,,
"In short, this is a film that will actually have to ""find"" its target audience by growing them in a vat.",none,,,,,
it's such disharmonious piece of work.totally a marking show off high sort of budget in which is not arithmetical.tell,none,,,,,
"Characters=Andrew(Dane Dehaan)=The main protagonist of the film his life is bad he's abused, bullied,poor and his mum is ill will cancer he is cousins with Matt when he gets the powers he is the most powerful and uses his anger and sadness against his life towards his growth throughout the film.Matt(Alex",none,,,,,
"How about one of us drinks it and die with horrifying pain?""",none,,,,,
Maybe I'm biased because I'm an 0311 myself but I actually enjoyed this movie.,none,,,,,
I was annoyed by all the product placements aimed at the kids.. and adults.,none,,,,,
My first objective was to CATCH WITH 2012 MOVIES.,none,,,,,
Best movie?,none,,,,,
"Well, no, but it was pretty good.",none,,,,,
Yesss!,none,,,,,
Avengers is completely overestimated in my mind.,none,,,,,
Marc Webb was the wrong director for this.4/10,none,,,,,
"The movie is directed by Kathryn Bigelow who previously directed ""Point Break"" (1991) and ""K-19: The Widowmaker"" (2002).",none,,,,,
C Overall: You should see this movie.,none,,,,,
It wasn't.,none,,,,,
Since there isn't that much of a connection between the two... apart from both being parodies of zombie flicks...,none,,,,,
"My hats off to fellow Canadian James Cameron, thank you for giving us such a fantastic movie.",none,,,,,
There are absolutely no words to describe the full percentage of enjoyment I received from this movie.,none,,,,,
"So I bought the movie on DVD and after I had watched it, I love it.",none,,,,,
But to me it is bothersome.,none,,,,,
"It is fatty, may not be animal friendly, may not be good for the planet and does not contain foie gras, caviar or saffron.",none,,,,,
7.5/10,none,,,,,
Yeah.,none,,,,,
Watchmen opened in Switzerland today and I caught one of the first screenings in Geneva.It was a disappointment.Those,none,,,,,
*Cue Levar Burton*,none,,,,,
Hollywood you stink.,none,,,,,
"If you do, then don't spend too much.",none,,,,,
"I went to see this movie on the theater, based mostly on the reviews of other users and of course the #3 spot on the Top#250 rank.",none,,,,,
"The idea of ""bad Russians"" is hackneyed after all.",none,,,,,
"Now if that's not cool, I don't know what is.Go see this.",none,,,,,
So nobody.,none,,,,,
READ THE FULL REVIEW AT http://gorgeousdave.blogspot.com/,none,,,,,
I'll tell you why.,none,,,,,
"The reason it took me so long to review this film is because I wanted to wait for it to show on the movie network, as my interest in it was next to none.",none,,,,,
I felt very let down after viewing it.,none,,,,,
Have you ever remembered of your dreams?,none,,,,,
"**Major Spoilers** For about two thirds of Up In The Air, I was thinking to myself, ""this is definitely going to be on my top five list for the year.""",none,,,,,
"Well, may be.",none,,,,,
"They have to leave us with disgust, and we wonder why movies suck today?",none,,,,,
This is one of the most entertaining movies I have ever seen and I cant remember a time I had more fun in a theatre.,none,,,,,
What's the best part about being teased?,none,,,,,
But this one is the cream of the crop.,none,,,,,
I thought filmmakers had evolved into a position where they were able to make entertaining movies while sticking to the truth.,none,,,,,
"The question is will the sequels be Salt 2, Salt 3 etc, or are there going to be any sequels?",none,,,,,
Hasn't anyone taught them the lessons of Lucas and Jar-Jar Binks?,none,,,,,
James Cameron truly is a master of movies.,none,,,,,
With all that said the movie's not a total waste.,none,,,,,
"Sci-Fi is my preferred genre, be it literature or movies.",none,,,,,
"Midnight In Paris can be accused of being slightly pretentious, lazy and indulgent, but then even Woody Allen's best films are slightly pretentious, lazy and indulgent.",none,,,,,
It was well worth seeing and impressed me so don't get me wrong but it wasn't a mind blowing Scorsese classic in my opinion.,none,,,,,
"But when I read the reviews, I could see that this would not be anything close.",none,,,,,
This movie will appeal more to older kids and adults than to young kids.,none,,,,,
"This is in spite of the great rating for TNG, DS9 and Voyager.",none,,,,,
What really depresses me is that Peter Jackson produced it and I generally really like his movies.I,none,,,,,
"rather remarkable how well Whedon manages the chaos, establishing a crisp story of alien invasion while massaging conflicts within the group, staging a few hero vs. hero fight scenes that highlight the not-so-friendly competition between these strangers.",none,,,,,
"While delivering pure entertainment and can bring new fans to the saga, and definitely be the best of J.J. (at least until ""Into Darkness"") and his grand entrance to the cinema with one of the best ""Star Treks"" and one of the best movies with sci-fis action adventure ever made.",none,,,,,
I should really appreciate the creators of 'AVATAR'.,none,,,,,
So I will now write a non-biased review.,none,,,,,
"But if your diet consists of mainly (or only) blockbusters, this is definitely a good one to spend some money on.GRADE:",none,,,,,
I think AVATAR has been the best last 10 years.,none,,,,,
"film has nothing to offer me but Albert Brooks (which is the only reason it gets one star, although I can't really give it zero).And, no, I've never seen ""Fast and Furious"".",none,,,,,
Second thing to put aside is the thought that this is a Brad Pitt film.,none,,,,,
It is inconstant.,none,,,,,
"Try ""Bronson"".",none,,,,,
"That, however, does not mean that they are exempt from criticism.",none,,,,,
It's just not worth your time!,none,,,,,
"Maybe, they are the same thing....",none,,,,,
This is the best horror movie I have seen till now.,none,,,,,
ABOUT THEM!,none,,,,,
"Very much like the film itself, that just doesn't work.",none,,,,,
"Generally speaking, they'd get their butt kicked if they didn't.",none,,,,,
Just like with Mark Zuckerberg.,none,,,,,
"It gave that little bit extra, without overdoing it.",none,,,,,
This movie will be the best movie of the summer and most likely the best 3rd movie in a trilogy.,none,,,,,
To that I have to say - OF COURSE!,none,,,,,
I looked at my wife she was enjoying movie so I remained in my seat.,none,,,,,
The name is so stupid I have to mention it again.,none,,,,,
"People who worry are depressive, true artists can be depressive.",none,,,,,
"There are obvious tips of the hat to ""2001"" all over this movie, but that's a good film to emulate.",none,,,,,
I firmly believe that most positive reviews here are written by a PR company hired to save this movie somehow.,none,,,,,
I didn't see anything good about this film really.,none,,,,,
See paranormal activity or the last house on the left for entertainment which i both recently saw and enjoyed.,none,,,,,
The critical bashing was more than unfair.,none,,,,,
"I didn't have the opportunity to see Jason Reitman's ""Up in the Air"" on the festival circuit, so my interpretation comes pre-masticated by critics who heralded it as the film to beat come Oscar season.",none,,,,,
What a film.,none,,,,,
The thing is: skyline copies other films.,none,,,,,
I just know I will be first in line to watch the next one!!!,none,,,,,
Degraging.,none,,,,,
"I wish I had waited until DVD to watch it with friends, in a dark quiet room, but oh well.",none,,,,,
I mean come on!,none,,,,,
"Which is pretty much what she is in the book, but she's also a real spitfire.",none,,,,,
This film is the most worse film I have ever seen .,none,,,,,
"Men in Black III is a fun movie, a cool and nostalgic trip down memory lane.",none,,,,,
"But all in all, this movie does what it sets out to do.",none,,,,,
"I'll probably get lynched for saying this, but these films are still an awful influence on young girls.",none,,,,,
Simply the biggest surprise of the year.,none,,,,,
"I would go see this one again, and would do so tonight.",none,,,,,
The best is yet to come.,none,,,,,
"Made $2,782,275,172 worldwide.",none,,,,,
I mean...,none,,,,,
"However, if you still have a kid inside you that enjoys laughing, not taking things to seriously, and comic's/super hero action then you will enjoy this film.",none,,,,,
This wasn't too bad.,none,,,,,
"Potty humor at its zenith or nadir, take your pick.",none,,,,,
movie is the best action movie I've seen lately.,none,,,,,
The accelerator suites were a very nice touch.,none,,,,,
They're just all laughing with Pixar.10/10,none,,,,,
"Toy Story 3, is a family orientated movie that will leave you in tears by its conclusion.",none,,,,,
"How you would feel if someone like ""Paul W.S. Anderson"" came along and took a big dump on it?",none,,,,,
Simply brilliant.,none,,,,,
"'Watchmen' already faired way better at its release, but I still hope that doubters will give it a second chance, and that it might make its way back into the IMDb Top 250 one day again.",none,,,,,
"Trust me, if you choose to not see the movie because of the negative comments you will truly lose something.",none,,,,,
Can't we have a break?,none,,,,,
I wish I just would of waited for it to come out on DVD.,none,,,,,
"7.9/10 Kick-Ass is a really good movie, don't get me wrong.",none,,,,,
"OK, for anyone that likes mysteries you will like this movie, for anyone that likes violence you will like this movie, for anyone who likes superheroes u will like this movie!",none,,,,,
Sounds like a great location for a follow-up.,none,,,,,
"My final word comes from my 7 year old grandson--"" The best film I have seen this year.",none,,,,,
This has to be the best movie ever made!,none,,,,,
There is still the possibility that all the records that The Avengers has set could be short lived come the end of July when Christopher Nolan unleashes his final installment in the Dark Knight series.,none,,,,,
Pretty enjoyable.,none,,,,,
Who came up with that idea?,none,,,,,
This movie was amazing.,none,,,,,
"The movie doesn't disappoint me unlike the sixth installment of Harry Potter (they made Harry Potter a coward, yeesh..).",none,,,,,
Like the previous two transformers films Dark Of The Moon is a true product of the Bush era.,none,,,,,
Way to go Angie!,none,,,,,
say this movie should be forgotten in the next ten years because it is surely one of the worst of this decade.,none,,,,,
The best way to describe it would be if one can imagine opening a very old can of soup with a brand new label.,none,,,,,
"""Take A Bite out of Slime"" has superseded ""Take A Bite Out of Crime"", sorry McGruff.",none,,,,,
I use the Google Translator to translate.,none,,,,,
"""21 Jump Street"" (2012) is a movie that starts off strong, with very well timed off-beat humour that gets the viewer interested.",none,,,,,
"It is solid, pretty watchable, pretty interesting fare.",none,,,,,
"My friend told me that it was to show how he didn't care about human emotion and embarrassment, so why would he wear clothing?",none,,,,,
Introducing Paris in English definitely does not work.,none,,,,,
The resurrection of Prime was amazing.,none,,,,,
That says it all in a nutshell.,none,,,,,
"Rise is a character driven movie, in which Ceasar is obviously the main character.",none,,,,,
definitely deserves all the credit it's been receiving.,none,,,,,
Come on.,none,,,,,
recommend this film too highly.,none,,,,,
"Yes, this movie raises questions (probably intentional) but it keeps you thinking and wanting more.",none,,,,,
Hopefully they can save this movie before it is released.,none,,,,,
Give more money to James Cameron's ego project with the Avatar re-release?,none,,,,,
Being a fan of the books you have to get past the fact that movie adaptations are always going to be verified.,none,,,,,
"If you want that, go watch ""Eden Lake"" or ""Inside""",none,,,,,
No one has ever pictured this quite as such as Danny Boyle.,none,,,,,
"The kiss arse film magazines and aficianardos have fallen over themselves with praise as usual, trying to make everyone feel it's another absolute work of genius and that Tarantino can do no wrong, but to a wider demographic of the audience, the film will just come over as pretentious and wholly self indulgent, thinking it's so clever but really just too big for it's boots.",none,,,,,
Who was that again?,none,,,,,
Her hair was nice to watch though.,none,,,,,
"So if yall people thought that this movie was bad, yall are freaking out of yall minds.",none,,,,,
"This show doesn't deserve a 1.0, that's how bad it is.",none,,,,,
I don't know what else to say.,none,,,,,
That would be a mistake.,none,,,,,
"""Funny face"" (Astaire/Hepburn) and ""An American in Paris"" spring to mind.",none,,,,,
A lot.,none,,,,,
"Modern-day megastar Angelina Jolie had yet to hit the big time, and had earnt her latest paycheck from appearing as a runaway escort in the music video for The Rolling Stones' Anybody Seen My Baby?",none,,,,,
"I actually hated it, and that's quite a feat, as I generally love films, and am very hard to not please.However,",none,,,,,
Seriously.,none,,,,,
The bar cannot be raised higher.,none,,,,,
"However, I have to also say that the following is far less than praise.***WARNING!",none,,,,,
Why is it the best?,none,,,,,
I walked out of the movie and my thoughts were on playing a computer game and being thankful that because of my wife's discount card it cost only 25(chinese dollars) where everyone else in there mostly had to fork out 130(chinese dollars).,none,,,,,
"It has everything a great movie should be, in fact i will call this THE BEST movie of the year, so far....G.I.",none,,,,,
"The critics bemoan unoriginality in so many movies, yet they are weak in their criticisms.",none,,,,,
"I'm really into this kind of movies like Quarantine, Cloverfield and Paranormal Activity.",none,,,,,
"Even today, T2 stands as one of the best ever; the action, acting, music, and even special effects stand the test of time and still blow me away every instance I watch.",none,,,,,
You never really care about any of the any of them in particular.,none,,,,,
"I understand that for most parents or other adults in the theater, the experience must have been horrible due to the screaming girls of ALL ages, but don't blame Justin or this movie for the excitement his fans share.",none,,,,,
Controversy makes things more attractive.,none,,,,,
He's like what?,none,,,,,
No code.,none,,,,,
I'm quiet amazed that some people found it terrible.,none,,,,,
I enjoyed it so much that I would consider buying this movie and watching it over and over.,none,,,,,
"So guys this is a must and must watch movie, go for it !!",none,,,,,
"It had to be a non-Hollywood director, a South African (and some ""Kiwis"" too) to come up with such a good story and cast.The narrative of the film is great as the film is presented as a documentary that tells the story of the leading character in the past, with the colors and realistic use of the camera of documentaries, but still developing a fictional story that is presented as real.",none,,,,,
Sit back and enjoy.,none,,,,,
"I wouldn't want to be lame by putting in the names of my favorite horror - mystery movies out here, but would like to mention that it has certainty crossed the limits of what we have seen so far in other flicks.It",none,,,,,
Ever.,none,,,,,
Max (Max Records) is nine.,none,,,,,
Editing?,none,,,,,
it didn't vilify any segment of Asia or the Germans.,none,,,,,
"I am completely baffled at this high of a rating (it was 8.5 at the time of this post with over 50,000 votes).",none,,,,,
"After eleven films and twenty five years of movie-making, Pixar has come to a sudden bump in the road.",none,,,,,
"This movie, no reward.",none,,,,,
"You'll either really like it, or at worst, think it's decent.",none,,,,,
"Hopefully, I downloaded the film for free (it's legal here in Spain if you wonder).",none,,,,,
Let people like what they like!,none,,,,,
"Well done, Quentin!",none,,,,,
"There's one thing you have to give Cameron, he is like the postman...he delivers; granted sometimes he may be a little late but if there 's one filmmaker you can always rely on its Cameron.",none,,,,,
"I'm not going far down this road, but the dialog was pathetic.",none,,,,,
Zilch.,none,,,,,
Wait for it on TV and DVD.,none,,,,,
"The film has a few really good (perhaps great) scenes (loved the intro, loved the card game and dug a couple other scenes too).",none,,,,,
"However I recommend that you definitely see 'The Avengers' as it certainly is a good and entertaining film, definitely Marvels Best!",none,,,,,
"Well, maybe it wasn't supposed to.",none,,,,,
"That's what I was arguing with my dad about, he preferred The Social Network over this, but I didn't.",none,,,,,
I had enough disappointment with the fifth movie.,none,,,,,
It's satisfactory.It's a good movie to watch it with your fellows and family.,none,,,,,
Get your web on!,none,,,,,
But you can actually change it now in a present time.Visit,none,,,,,
"(Never mind the trolls, let them think they can spoil the party).The",none,,,,,
All fantasy things then brought from nowhere.,none,,,,,
"man goes to tribe for the benefit of his own people, falls in love and walks over to the other side.the images are quite nice but very overrated, i saw this movie in 3d but normal would've been pretty much the same.",none,,,,,
So I suggest you fill out the petition to get it to your local theatre so you can enjoy the ride like I got to.,none,,,,,
We're where?,none,,,,,
"Bigger and better, this sequel is getting close to somewhere.",none,,,,,
Most reviewers who gave this film a bad vote have quite obviously expected something like ALIEN and are therefore pi**ed off.,none,,,,,
"If the first film was sci-fi, the second was a western then this is a prison movie.",none,,,,,
Nobody cares to explain that to the viewer.,none,,,,,
Not exactly impressive.,none,,,,,
"As you can read in lots of comments, some people are unable to cope with that situation- and seek refuge in a bad rating ;).",none,,,,,
"""Pirates of the Caribbean: On Stranger Tides"" is a disappointed adventure of a washed up franchise.",none,,,,,
He played the role as I expected him to.The violence was about as far as a PG-13 release would allow.,none,,,,,
"Over half of the movies I watch are comedies, and The Hangover is by far the funniest film I have ever seen.",none,,,,,
This officially is the best movie you've never seen.,none,,,,,
"viewed this movie with my friends Mark and Ron at the AMC Theater in Framingham on Flutie Pass (yes, named after Doug).",none,,,,,
i literally almost wet myself laughing because this movie was straight up hilarious.,none,,,,,
rating: 4.5 Fabio's: 8.5 Total score: 13 For more movie reviews please visit http://paulinasmovies.blogspot.comTo,none,,,,,
Hands down a 10/10.,none,,,,,
"Forget about the director, or the connection to his previous superior sci-fi suspense film.",none,,,,,
It was dead on!,none,,,,,
"On the whole, ""Twilight - New Moon"" deserves much higher respect than it is receiving.",none,,,,,
"Overall, ""Tron: Legacy"" is worth to watch.",none,,,,,
10/Oct,none,,,,,
Perhaps.,none,,,,,
"3) Maid Marian is not a Maid, she's married.",none,,,,,
"Subsequently delving into the history of the Quileutes, Bella discovers the secrets of Jacob's tribe while looking forward to a reunion with Edward that may have deadly consequences.so",storyline,,,,,
Intelligent people were insulted in this movie.,storyline,,,,,
So the government decides to relocate the aliens to a different area (District 10) far outside of the city.,storyline,,,,,
"idea of out of body experience, or even having your essence temporarily inhabit an artificial host body is nothing new, either.",storyline,,,,,
"But after seeing it a few more times, I have come to absolutely adore this movie.",storyline,,,,,
"Although it felt more like a first person, double-length episode of the show ""A Haunting"", rather than a movie, I can really say that I enjoyed absolutely every minute of it.",storyline,,,,,
"Something a little darker would've worked and potentially added a bit more punch to the title of the film (i.e something left by Tron) because what, exactly, IS the ""Legacy"" of Tron mentioned in the film's title?????",storyline,,,,,
"There's this whole bit about the Vatican for instance, that is like taken out of The Hitchhiker's Guide to the Galaxy.",storyline,,,,,
"(Except for few from the man, the Iron Man ;) ) The silly quarrels the team gets into turns you off.",storyline,,,,,
"premise is deliciously simple, creating a uniquely internal logic that gives Raimi free reign to pull out all the stops: Christine Brown (Alison Lohman) is a promotion-seeking loan officer who, in a split-second of avarice, denies Mrs. Ganush (Lorna Raver), an old gypsy woman, an extension on her mortgage payment; as a result, she visits a three-day curse on Christine that, if not stopped, will literally send her to hell.",storyline,,,,,
"some ways, Woody Allen's script is stuck in the past that is both predictable and not as spontaneously charming as it should be.",storyline,,,,,
"And remember, if little kids want to see this movie, make sure an older person goes with them.",storyline,,,,,
"Even more, if it weren't for the part, which presented the stage of preparation for the Games, it would be a pretty decent action movie with some entertaining fighting sequences.",storyline,,,,,
"He can run fast, I gathered.",storyline,,,,,
Even the finale fights were found wanting.,storyline,,,,,
"The also-underrated Michael Stuhlbarg plays film historian Rene Tabard, a champion of lost legacy.Somehow, the story of a boy and his robot and the redemption of a brilliant, misunderstood artist mesh, if reluctantly.",storyline,,,,,
"just because the beginning is slow doesn't mean anything, it builds up and then just releases all the tension and intensity in such a beautiful and violent way!",storyline,,,,,
"The Autobots make their trademark clich phrases and stuff, and even Starscream sounds fearful of Megatron again, which he didn't in the previous two films which I thought was brave of Bay and it paid off.",storyline,,,,,
"In the ruins of what once known was North America, lies the futuristic nation of Panem.",storyline,,,,,
"I was expecting a night of ribaldry, chronicling the bachelor party (along the lines of 'Superbad'--except with the characters being a bit older).",storyline,,,,,
"I've seen countless children's films with originality and real imagination, but Coraline just doesn't have any.",storyline,,,,,
human cast finds itself pretty much overshadowed by the electronics as well.,storyline,,,,,
"It's brilliant, and really made this film what it was.",storyline,,,,,
Think Emerald Forest meets Halo.,storyline,,,,,
Ted is sure enough to be a ladies man or should I say a ladies bear lol?,storyline,,,,,
"The first-class humor is a combination of wittiness, gaggery, foul language and grossly sexual humor as well as a ton of insults that no show is safe from.",storyline,,,,,
They spend $200 million and still can't write a decent story?,storyline,,,,,
"yeah, that's really the happy ending!",storyline,,,,,
"It was sort of like Heat, just redone as a period piece.",storyline,,,,,
"Actually, I COULDN'T watch the whole thing; I was giving myself a headache from rolling my eyes.",storyline,,,,,
"Last year ""Zombieland"" was my runaway favourite for its quirkiness, originality and fun.",storyline,,,,,
So far that one could somewhat view Prometheus as a re-imagining of the original.,storyline,,,,,
"Also, I would have thought the female would be a little more resistant to falling for him, because yanno, she was sworn to someone else... >.< My favourite part was the music... GAH, it was pretty great!",storyline,,,,,
"Considering Irene in mind, Ryan steps forward to help Standard by robbing a pawn shop.",storyline,,,,,
"Don't take this film to seriously, the first one was WAY better.",storyline,,,,,
And of course Riley ends up getting killed by Seth a wolf and Edward kills Victoria.,storyline,,,,,
"Hot chicks fighting impossible odds, Zack Snyder kept it simple, he was not looking to win Oscars he was just looking to entertain people in a unique way.",storyline,,,,,
And his mother didn't die - she raised him!,storyline,,,,,
Dr. Manhattan's transformation from man to weapon is tragic and the movie's high point.So,storyline,,,,,
"The film is fascinating, thought provoking, emotional, action packed, tear jerking and well it just might be the best film I've ever seen.",storyline,,,,,
"The extended King family are the descendants of affluent Hawaiians, and so continue to own their ancestor's many miles of untouched, pristine land.",storyline,,,,,
"But in our world, things like that don't happen - we've all been in relationships so we know for a fact, film romance is not ever applicable, and as a result, we don't learn anything, we don't grow by travelling these characters, we're just killing time.",storyline,,,,,
"I was confused by the ""license mistake"" to the point that i wouldn't let it go at the time.",storyline,,,,,
"As his career fades with the silent film era, her career grows with the ""talkies"".",storyline,,,,,
A few little surprises happen along the way that may upset some viewers BUT it is what drives Ryan and Natalie to change.,storyline,,,,,
Every time it seemed to get interesting it was followed by a dull corny scene.,storyline,,,,,
"Pandorum's creators didn't take the time they could have in creating any suspense and so the whole thing feels like a rehash of Aliens, Event Horizon, and a dozen other films, except not quite as good.5/10 stars for the basic premise, the set design and a very few nice visuals.",storyline,,,,,
"The essential archetypes are all there; an android with a hidden agenda, a bunch of disposable and irritating crew members, a corporate 'droid', perhaps, a egomaniac trillionaire who does not want to die and a resilient heroine.The",storyline,,,,,
This is a thing that really enhances the loneliness and helplessness in the film.,storyline,,,,,
"Nonetheless, in the end all that matters is the safe return of the spoiled American brat.",storyline,,,,,
"Its difficult, long, and very tedious work to do.",storyline,,,,,
You really are on the edge of your seat throughout and you don't move from there until the credits role the film is so unpredictable and you don't see anything coming.,storyline,,,,,
It is terrible and wonderful all at the same time.The,storyline,,,,,
"Not really up on the politics, so I am sure I missed something.",storyline,,,,,
"However, the toys end up in a trash bag, and his mother accidentally sends them to the Sunnyside Day Care Center, where other toys have been donated.",storyline,,,,,
"so i though that i was prepared enough for a ""typical action/ science fiction/ comic book adaptation film"".",storyline,,,,,
The film switches between the 2 and this is bad because human form is boring and drags the film.,storyline,,,,,
"And maybe explains just too much at the end.Would have prefer more pauses, more symbolic and meta-physical 'feel' or retelling of the story.",storyline,,,,,
In POTA Taylor is a human misanthrope who has no belief left in his fellow humans.,storyline,,,,,
But the movie completely underplays all of these things.,storyline,,,,,
"Throwing a random swear word in here or there, or letting Jersey accented robots and dogs hump about was not just off color it was off target.",storyline,,,,,
plot is well adapted with all crucial elements added.,storyline,,,,,
Both films are military action flicks.,storyline,,,,,
"be honest, I don't know many scifi-movies that really put science in the center and then asks how humans would react in this new and strange environment.",storyline,,,,,
The ending is very impressive!,storyline,,,,,
"Great script, brilliantly acted and Spielberg's direction is solid and consistent as usual.",storyline,,,,,
Or a heist thriller to rival Heat?,storyline,,,,,
"Soon the Air Force under the command of Colonel Nelec (Noah Emmerich), is all over the wreckage and the town that is marred by mysterious events - from missing electronics and people, to runaway dogs.",storyline,,,,,
"Long to short there, they're being contacted by aliens, they have been chosen, Nick hasn't.",storyline,,,,,
"There is no ""I will avenge you!!"" or ""radioactive spiders"", but he wants to be a hero simply because its cool.",storyline,,,,,
"I heard it was a seventies, eighties homage in a way and Abrams and Spielberg work wonders.If",storyline,,,,,
This movie is no different.,storyline,,,,,
The tension is high throughout the film with only brief breaks.,storyline,,,,,
"By the way, i still think this a good spidey movie.",storyline,,,,,
The film treats of a question: What is right?,storyline,,,,,
The successful occupation of Vietnam due to super-human intervention was a cool historically revisionist approach.,storyline,,,,,
"It's a worthy cause, although you eventually question the goodness of the company running the operation.",storyline,,,,,
"do people wanna see fun, explosions, entertainment in serious movies, movies about diseases where people die?",storyline,,,,,
"The hero Garfield is shown as quite lean and slim and lacks maturity as he remains a college boy, Heroism is more of Humanly than super.",storyline,,,,,
"Best of all, because of the way it has been cleverly written and directed, you need not have seen a single frame of any of the many entries in the franchise to appreciate what Team Abrams hath wrought.",storyline,,,,,
"It's a movie about a war, not about time-traveling back in time, stopping John Connor from leading the humans to victory.People who hated this movie expected too much from it.",storyline,,,,,
"Hell Yeah!! (finally) It's Tony Stark above the rest of Avengers?: Nope, he's part of an awesome team!Is this movie worth to see on cinemas?",storyline,,,,,
"I never would have believed it could be possible to put all of these characters in the same movie and do them all justice, at least not unless the movie was more than three or four hours long!",storyline,,,,,
District 9 fetched the character of Gregorio Samsa the main protagonist from La metamorfosis and one can easily relate the character in this movie to the novel.,storyline,,,,,
It does not come anywhere near the unprecedented standards set by the dark knight or for that matter does not even come close to spiderman 2. The movie is often commended for its humor.,storyline,,,,,
"She can't get ahold of her loving husband Mike--a German national who got her out of a rut in North Korea two years earlier--and makes a break for it and goes on the run like ""The Fugitive"" meets a female version of ""XXX.""The action happens like a linear video game as it feels rehearsed and formulaic, than being unpredictable and truly challenging.",storyline,,,,,
":-)However, overall it suffers from being almost too slick.",storyline,,,,,
I sure did and this movie kept surprising me the entire 2 hours.,storyline,,,,,
"The movie offers an intriguing idea and tries to make a go of it, but it bogs down and it doesn't take much effort to connect the dots.",storyline,,,,,
"However, apart from its minor defects that many will tend to overlook, X-Men First Class is huge step forward from its dragging, mediocre & star-studded predecessor trilogy.Therefore,",storyline,,,,,
"From piecing together the background noise he overhears, he places them as an Albanian group with their hand in drugs and the sex trade.",storyline,,,,,
one thing i can say is that You might need to see at least twice to understand it.Thanks for such wonderful film,storyline,,,,,
"worst, it devolves Star Trek into a shinier ripoff of Star Wars, in a transparent attempt to appeal to the masses.Once its predecessor ST-X:Nemesis(2002) broke the even-numbered-charm by losing money, Star Trek(2009)'s seven producers should've known better than to again invoke Romulan terrorism for a plot.",storyline,,,,,
"It may become celebrated by many as ""groundbreaking"" movie watching, but it is far from groundbreaking storytelling - and that is where the movie ultimately fails its audience.",storyline,,,,,
Practically nothing ...A pornographic violence which Kick-Ass almost lets itself enticing by.,storyline,,,,,
"I'm definitely catching it again.Take a bow, Pixar.",storyline,,,,,
"This movie builds up great suspense through out the movie.This is about a U.S Marshal named Teddy who heads to Shutter Island, a mental hospital to investigate the escape of a patient.The",storyline,,,,,
"Apparently that is what he was going for.The film overall was entertaining but it could have been way more than it is, it needed a tad more myth and less reality.",storyline,,,,,
"Ship crashes into the heart of LA, after suffering a direct nuclear blast.",storyline,,,,,
But that's probably because I have watched it Alien and even though I tried had I couldn't help but compare the story to the original which was a masterpiece.,storyline,,,,,
I found myself wondering how deep Cameron has thought through his imagined world; do the myriad creatures portrayed here have a sound Darwinian back-story?,storyline,,,,,
"And instead becomes a homage to the washed up old movie director and actor, Isabelle's Godfather.4 -> 3 Which brings me to mention how the story just changes completely from well.. having really no plot at all except for starting off to develop Hugo's 'sad' situation as an orphan.",storyline,,,,,
So the scene is set 2 years after the bachelor party in LA went array.,storyline,,,,,
These were screwball comedies set against a very real backdrop of Nazi brutality.,storyline,,,,,
"My thought is that the writers and directors and producers got tired and ""slacked-off"" on the ending.",storyline,,,,,
"At the Muse Rodin, he even insists that the guide (played by a pouty Carla Bruni) doesn't know her art history.",storyline,,,,,
"The problem here, is that Source Code also has it's share of terrible ideas and obvious flaws that send this initially entertaining action flick into a downward spiral that progressively gets worse until the film closes.The",storyline,,,,,
"be honest, this film knocked me for 6 as after watching the trailer I was expecting to see a transporter 'esque action film but in reality the film is so much more.At the start, scenes with hardly any dialogue are inter-spliced with silent, richly detailed scenes which in some ways tell us more about the characters than a 1000 spoken words ever could.",storyline,,,,,
"After the film, you know nearly as little about the lead characters as you did going in.It's one of the most straight forward movies I've seen in years.",storyline,,,,,
The Flash Gordon parts are stellar though.,storyline,,,,,
When I first saw the preview I thought OK so there is a CIA agent accused of being a Russian spy.,storyline,,,,,
The whole family will enjoy this.Violence: Yes.,storyline,,,,,
"It was very nice, but I do not think I would have been pleased to bring a kid to see this.",storyline,,,,,
"Only the final is too fanciful and out of the history lines but it is a forgivable ""poetic license"".",storyline,,,,,
My God was that a great adaptation.,storyline,,,,,
"No, now he is a coward, who watches Dumbledore die even though he could have done something.",storyline,,,,,
"For example, the opening scene.",storyline,,,,,
And the whole longing father routine doesn't really work.At least The Matrix (first movie) had a heartfelt resolution - that love is the answer.,storyline,,,,,
"If you do not have any compunction to care about the characters, then how can you care about their actions?",storyline,,,,,
Do you feel connected with the characters?,storyline,,,,,
Christine has to struggle with her choice and whether self-gain is more important than the well being of others.,storyline,,,,,
